COUPLE1,COUPLE2
Richard,DONNETTE
Richard,MILDA
Richard,LEILA
Richard,CASSAUNDRA
Richard,KIMBER
Richard,ANTHONY
Richard,ANNIKA
Richard,HANNAH
Richard,KARLY
Richard,TAMAR
Richard,SHALA
Richard,Anthony
Anthony,DEBRA
Anthony,KELSI
Anthony,CHARITY
Anthony,MALINDA
Anthony,OLA
Anthony,MIYOKO
Anthony,LENITA
Anthony,FIONA
Anthony,ALFREDIA
Anthony,LATASHIA
Anthony,CARISSA
Mina,LATESHA
Mina,CARL
Mina,TAMRA
Mina,YASMINE
Mina,DEAN
Mina,DANIELL
Mina,MARYBETH
Mina,ZELLA
Mina,ROLANDA
Mina,KAROLE
Mina,LOREE
Mina,Marc
Mina,Zuny
Zuny,ELENOR
Zuny,DALE
Zuny,ERLENE
Zuny,TERRELL
Zuny,SUZANNE
Zuny,ALLIE
Zuny,PAULENE
Zuny,TRINH
Zuny,LASHELL
Zuny,TRINA
Zuny,TONDA
Marc,DIA
Marc,LENORA
Marc,VIRGIE
Marc,ROSIO
Marc,CATRICE
Marc,TAMMERA
Marc,RONNI
Marc,SANDIE
Marc,MORGAN
Marc,KRISTIN
Marc,JENAE
MARY,TIESHA
MARY,MAISHA
MARY,GUSSIE
MARY,SUN
MARY,PAMELLA
MARY,RETHA
MARY,KERSTIN
MARY,SIMONNE
MARY,MIRTHA
MARY,NADENE
MARY,PHYLISS
PATRICIA,AZZIE
PATRICIA,LEIGHA
PATRICIA,LORELEI
PATRICIA,SENA
PATRICIA,ARMIDA
PATRICIA,RANEE
PATRICIA,ALESHIA
PATRICIA,SANG
PATRICIA,THUY
PATRICIA,SHERRI
PATRICIA,HEIDI
LINDA,VIOLET
LINDA,MABEL
LINDA,ANETTE
LINDA,VANETTA
LINDA,TOVA
LINDA,EMILY
LINDA,SHARI
LINDA,DELILAH
LINDA,ALEIDA
LINDA,CAPRICE
LINDA,ELANA
BARBARA,MILDRED
BARBARA,LASHON
BARBARA,CLOTILDE
BARBARA,BRIDGETT
BARBARA,ARLETHA
BARBARA,EDWINA
BARBARA,SUZETTE
BARBARA,ANNIKA
BARBARA,EFFIE
BARBARA,PATTIE
BARBARA,SHERA
ELIZABETH,SAMANTHA
ELIZABETH,MIREILLE
ELIZABETH,TAMEKA
ELIZABETH,DALENE
ELIZABETH,IRINA
ELIZABETH,MICHAEL
ELIZABETH,VERONIQUE
ELIZABETH,AGRIPINA
ELIZABETH,AUDIE
ELIZABETH,SHAUNNA
ELIZABETH,YOLANDA
JENNIFER,MARTA
JENNIFER,EMILY
JENNIFER,TRUDY
JENNIFER,BREANNA
JENNIFER,LAURETTE
JENNIFER,DOMINIQUE
JENNIFER,CLAUDIA
JENNIFER,CHARITA
JENNIFER,DEANA
JENNIFER,MAXIMA
JENNIFER,GLADY
MARIA,ALEX
MARIA,CHELSIE
MARIA,BERNIE
MARIA,SHAVON
MARIA,ROSINA
MARIA,MARILEE
MARIA,FAVIOLA
MARIA,SHERLENE
MARIA,CARLETTA
MARIA,LAVERNA
MARIA,IMA
SUSAN,CRISTIN
SUSAN,KARISSA
SUSAN,BARBRA
SUSAN,PAULA
SUSAN,FILOMENA
SUSAN,JENIFFER
SUSAN,EILENE
SUSAN,SUK
SUSAN,LUCINA
SUSAN,JEANNETTA
SUSAN,JANA
MARGARET,JANNIE
MARGARET,ANTONETTE
MARGARET,LINNIE
MARGARET,Mina
MARGARET,TANESHA
MARGARET,LOMA
MARGARET,LAINE
MARGARET,VENA
MARGARET,BILLYE
MARGARET,GWENDA
MARGARET,CONCETTA
DOROTHY,GERTRUDIS
DOROTHY,SHERI
DOROTHY,TIEN
DOROTHY,FELICITAS
DOROTHY,CORNELIA
DOROTHY,MELIDA
DOROTHY,MYESHA
DOROTHY,CAITLIN
DOROTHY,MIREILLE
DOROTHY,CHRISTEL
DOROTHY,JACQUELYNN
LISA,THERESSA
LISA,URSULA
LISA,VERSIE
LISA,HORTENCIA
LISA,KATELIN
LISA,MAILE
LISA,ULRIKE
LISA,LISHA
LISA,GERALDINE
LISA,LETTIE
LISA,MARYLEE
NANCY,KARENA
NANCY,JACKIE
NANCY,ELLEN
NANCY,DOROTHA
NANCY,ARLENE
NANCY,CARLYN
NANCY,LYNDIA
NANCY,ANNAMAE
NANCY,MARYLAND
NANCY,EUSEBIA
NANCY,LEATRICE
KAREN,NOMA
KAREN,JAZMIN
KAREN,ALEASE
KAREN,GILMA
KAREN,PAULETTE
KAREN,JACQULINE
KAREN,JULIO
KAREN,DEENA
KAREN,YING
KAREN,DEVORA
KAREN,ANTONIA
BETTY,DENNY
BETTY,KENDRA
BETTY,SABINE
BETTY,LATINA
BETTY,HEIDY
BETTY,LARONDA
BETTY,CYNDI
BETTY,TWILA
BETTY,REA
BETTY,LAVENIA
BETTY,BRANDEE
HELEN,SHAKITA
HELEN,HOLLIE
HELEN,DORTHEA
HELEN,LAURA
HELEN,KIMBERLIE
HELEN,LACY
HELEN,GENNIE
HELEN,LARA
HELEN,CRISTY
HELEN,DARYL
HELEN,BRONWYN
SANDRA,SYDNEY
SANDRA,EBONIE
SANDRA,AKIKO
SANDRA,NEDRA
SANDRA,KARLENE
SANDRA,NANA
SANDRA,SHONDA
SANDRA,MELLISA
SANDRA,MARITA
SANDRA,TORI
SANDRA,JALEESA
DONNA,JAE
DONNA,GERTHA
DONNA,CLARETTA
DONNA,LEORA
DONNA,CAROLANN
DONNA,EDYTH
DONNA,HEIKE
DONNA,JESSIE
DONNA,ASHLY
DONNA,SUNNY
DONNA,ELIN
CAROL,MINTA
CAROL,MONICA
CAROL,TAMIE
CAROL,BEATRIZ
CAROL,ALLYSON
CAROL,MOZELLE
CAROL,ADELAIDE
CAROL,COLLEEN
CAROL,LORIE
CAROL,LAKESHA
CAROL,KAROLINE
RUTH,SOFIA
RUTH,DONA
RUTH,ANALISA
RUTH,TRULA
RUTH,MAURINE
RUTH,MARIBETH
RUTH,EILENE
RUTH,SAMATHA
RUTH,THOMAS
RUTH,MONET
RUTH,ADELLA
SHARON,KISHA
SHARON,MERIDETH
SHARON,NOLA
SHARON,HANNAH
SHARON,GRAYCE
SHARON,CARMELLA
SHARON,CARLOTA
SHARON,LOTTIE
SHARON,EUSTOLIA
SHARON,BERRY
SHARON,JESSIKA
MICHELLE,LINNIE
MICHELLE,AGUSTINA
MICHELLE,WINIFRED
MICHELLE,ROSARIO
MICHELLE,PA
MICHELLE,LANE
MICHELLE,KIT
MICHELLE,PA
MICHELLE,BECKI
MICHELLE,GAYLE
MICHELLE,CHANDRA
LAURA,CARRY
LAURA,CHRISTINE
LAURA,VALENCIA
LAURA,JACQUE
LAURA,CATARINA
LAURA,ANGELE
LAURA,GARNET
LAURA,TOMIKO
LAURA,FLOY
LAURA,ULRIKE
LAURA,LAKESHIA
SARAH,FLORINE
SARAH,RONNI
SARAH,ZONA
SARAH,YAHAIRA
SARAH,ELIZEBETH
SARAH,CHRISTIANE
SARAH,GRETCHEN
SARAH,DORENE
SARAH,KARA
SARAH,KAY
SARAH,IESHA
KIMBERLY,WYNONA
KIMBERLY,KAILA
KIMBERLY,ALINA
KIMBERLY,TOBIE
KIMBERLY,THEO
KIMBERLY,DORETTA
KIMBERLY,MICHAELE
KIMBERLY,HEDWIG
KIMBERLY,MARYANNE
KIMBERLY,EUFEMIA
KIMBERLY,ADRIENE
DEBORAH,ALICA
DEBORAH,DONNA
DEBORAH,MARCIA
DEBORAH,MAFALDA
DEBORAH,GRICELDA
DEBORAH,LENORE
DEBORAH,THERESA
